UniqueCount	AmbigCount
0	0
0	0
220	1006
161	755
409	555
0	0
336	0
302	0
89	0
0	0
104	2
0	0
498	8
285	1
9	0
0	0
0	0
0	0
17	0
3	0
0	0
0	0
0	0
0	0
14	77
0	43
2	61
0	36
6	14
0	2
4	20
0	31
2	0
0	0
0	0
0	0
1	0
2	0
0	0
5	0
6	0
0	0
2	0
0	32
3	203
104	353
0	9
0	204
112	65
1	212
0	44
19	1
2	160
309	226
0	160
0	43
3	26
1	127
0	92
107	14
0	97
168	1482
13	1441
0	77
41	0
55	312
6	311
6	191
0	113
0	82
17	0
0	0
10	0
77	0
143	110
3	0
0	798
39	1561
58	301
219	879
96	128
0	21
291	1458
99	532
0	0
1198	295
0	0
30	4
81	89
1	40
0	90
30	41
0	0
0	0
2	0
20	1
0	0
1	72
0	187
145	3862
34	119
8	12
0	1399
0	3324
165	413
0	1351
27	19
10	304
11	8
15	44
1	260
121	5
0	529
284	6
0	6
0	0
0	0
0	0
0	0
40	8
4	997
4	996
10	996
1	7
0	14
8	779
20	716
4	84
0	986
5	27
0	62
0	118
0	52
0	0
1	0
1	13
0	0
0	0
0	0
0	0
916	2606
4	121
0	13
0	1791
0	608
37	64
86	2571
31	2396
0	0
420	3
0	106
0	0
0	0
0	0
32	0
0	0
3	0
38	0
0	0
14	0
0	0
0	0
0	0
0	0
1	571
0	662
0	758
14	622
0	78
0	8
0	226
67	346
62	366
73	0
1	9
229	24
4	8
64	0
0	0
16	0
0	4
0	0
0	0
0	0
0	0
5	10
55	0
6	0
0	0
0	0
0	0
0	0
0	0
5	0
457	3
13	152
6	142
0	2
0	10
3	115
2	0
0	0
8	0
1	0
0	0
1	1760
3423	2
0	0
86	112
0	112
0	7
0	5
0	38
2976	0
0	33
0	0
0	0
0	0
0	33
0	0
6	0
12	289
0	280
0	299
78	1
0	206
19	245
0	290
3	4
17	14
4	231
93	14
95	4
0	1
0	0
6	7
0	231
0	10
1	10
2	9
0	221
23	43
20	44
1	25
2	22
5	5
0	0
3	1
0	1
0	0
1	4
0	9
0	11
0	5
0	2
0	5
0	0
0	0
153	538
1	125
11	343
1	141
52	401
6	45
15	159
27	3
0	8
84	556
335	100
0	80
0	239
0	25
7	312
65	370
0	58
0	239
1	56
0	35
35	483
0	37
505	35
9	48
33	11
2	5
23	6
0	3
0	3
1	108
24	0
17	17
4	3
3	48
0	0
1472	2346
0	85
9	197
114	64
21	13
7	1988
38	29
2	200
0	0
41	0
0	19
5	19
458	239
3	4
22	0
7	0
0	0
0	0
0	0
0	7
0	0
0	0
2034	1249
72	23
5	529
22	192
0	104
0	126
2	515
3	142
0	0
0	0
0	0
27	1366
10	479
6	54
13	213
